"BatchId","RiskBucket","Records","Moves","RewriteHits","HumanNavigation","Numbers","CurrentPaths","Recommendation"
"human-navigation-01","human_navigation","3","3","45","True","576;577;578","docs/v14_002_review_console_productization_planning_gate.md; docs/v14_003_review_console_information_architecture_gate.md; docs/v14_004_review_console_wireframe_and_data_contract_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-02","human_navigation","3","3","47","True","579;580;581","docs/v14_005_review_console_static_review_and_route_closeout_gate.md; docs/v14_006_review_console_UI_implementation_authorization_planning_gate.md; docs/v14_007_review_console_docs_rendered_prototype_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-03","human_navigation","3","3","45","True","582;583;584","docs/v14_008_review_console_docs_rendered_prototype_static_review_and_closeout_gate.md; docs/v14_009_review_console_static_HTML_prototype_authorization_planning_gate.md; docs/v14_010_review_console_static_HTML_prototype_creation_authorization_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-04","human_navigation","3","3","45","True","585;586;587","docs/v14_016_review_console_static_prototype_next_route_decision_gate.md; docs/v14_017_review_console_static_prototype_human_route_selection.md; docs/v14_018_post_archive_project_route_selection_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-05","human_navigation","3","3","46","True","588;589;590","docs/v14_019_product_route_planning_selection_gate.md; docs/v14_020_visual_eval_and_failure_taxonomy_planning_gate.md; docs/v14_021_visual_eval_rubric_fields_planning_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-06","human_navigation","3","3","45","True","592;593;594","docs/v14_021b_rubric_phase_chain_reconciliation_closeout.md; docs/v14_022_visual_eval_decision_policy_planning_gate.md; docs/v14_023_visual_eval_failure_tag_mapping_planning_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-07","human_navigation","3","3","42","True","595;596;597","docs/v14_024_visual_eval_minimal_seed_set_planning_gate.md; docs/v14_035_visual_eval_seed_registry_static_review_gate.md; docs/v14_036_visual_eval_seed_registry_closeout_or_expansion_route_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-08","human_navigation","4","4","40","True","614;615;616;617","docs/v7_200_smart_commander_portable_protocol_extraction_gate.md; docs/v7_201_smart_commander_reuse_package_index_gate.md; docs/v7_202_smart_commander_external_adoption_readiness_gate.md; docs/v7_203_smart_commander_portable_release_candidate_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-09","human_navigation","4","4","49","True","618;619;620;621","docs/v7_205_static_review_console_mockup_spec_gate.md; docs/v7_206_static_review_console_mockup_file_gate.md; docs/v7_208_static_mockup_visual_polish_or_pause_decision_gate.md; docs/v7_209_static_mockup_product_copy_cleanup_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-10","human_navigation","7","7","48","True","622;623;624;625;626;627;683","docs/v7_211_static_mockup_accessibility_review_gate.md; docs/v7_212_static_mockup_accessibility_patch_gate.md; docs/v7_214_mainline_backlog_review_after_static_mockup_gate.md; docs/v7_215_v10_12_provider_fingerprint_activation_readiness_review_gate.md; docs/v7_216_v10_12_provider_fingerprint_activation_briefing_gate.md; docs/v7_219_release_readiness_delta_after_static_and_provider_prep_gate.md; docs/v8_final_retouch_route_closeout_matte_ceramic_mug_v4.md","dry_run_only_requires_semantic_review_or_jenn_decision"
"human-navigation-11","human_navigation","3","3","40","True","684;687;688","docs/v8_next_route_decision_options.md; docs/v9_002_delivery_readiness_package_gate.md; docs/v9_003_delivery_readiness_acceptance_criteria_gate.md","dry_run_only_requires_semantic_review_or_jenn_decision"
